SPECTRUM - MS
D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_89_116.raw
 + c ESI Full pr 89.000 [100.000-400.000] 
Scan #:1467 
RT: 7.42 
AV: 1 
Data points: 35
Mass,Intensity
115.573013305664,124.84748840332
117.334007263184,562.95751953125
130.044067382813,399.687225341797
135.836013793945,156.395584106445
144.091003417969,941.268432617188
146.702011108398,807.824523925781
151.666015625,209.18962097168
156.000015258789,959.022705078125
161.254013061523,232.491577148438
162.308059692383,3768.69384765625
163.154006958008,404.495666503906
172.285003662109,695.357849121094
177.431060791016,6180.39404296875
184.817016601563,79.7749633789063
185.500015258789,188.906127929688
190.252014160156,30.0521221160889
195.234008789063,497.660888671875
202.926010131836,107.881675720215
203.735015869141,239.998733520508
208.194061279297,4140.79638671875
209.267059326172,2072.2958984375
213.470016479492,16.4158821105957
289.666015625,18.2711334228516
313.098999023438,209.937774658203
315.416015625,159.978500366211
324.498016357422,3.31540870666504
343.921020507813,105.381462097168
365.652008056641,4.21465301513672
378.249053955078,1548.7724609375
379.296997070313,276.118743896484
385.5830078125,81.2336654663086
387.917022705078,878.687316894531
394.001007080078,131.570739746094
395.584014892578,37.9433975219727
398.3330078125,63.3170967102051
