SPECTRUM - MS
D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw
 + c ESI Full pr 130.100 [100.000-400.000] 
Scan #:1344 
RT: 6.79 
AV: 1 
Data points: 75
Mass,Intensity
130.093017578125,506.573059082031
158.245010375977,88.0290298461914
160.0830078125,492.403625488281
177.167007446289,296.923461914063
188.842056274414,1031.18383789063
201.917007446289,428.161987304688
211.584014892578,301.215850830078
215.334014892578,574.40673828125
233.251007080078,561.612182617188
243.084014892578,513.867065429688
247.916015625,57.8144683837891
251.34001159668,261.734558105469
258.506011962891,18.2285327911377
260.406005859375,198.696716308594
263.768005371094,84.9399337768555
264.515014648438,279.751831054688
268.0830078125,51.7314834594727
273.753021240234,510.916839599609
275.380065917969,1975.18603515625
282.950012207031,71.3778915405273
284.501007080078,888.396484375
289.666015625,285.314483642578
290.913055419922,3.63317728042603
298.273010253906,65.0085220336914
300.427001953125,233.723846435547
302.519012451172,60.5545043945313
305.584014892578,385.216979980469
306.742004394531,1281.28503417969
314.3330078125,943.556945800781
316.507019042969,717.136657714844
318.454010009766,45.5185661315918
323.084014892578,303.913024902344
326.920013427734,966.434020996094
327.585998535156,245.328247070313
328.407012939453,483.969940185547
329.337005615234,681.761413574219
332.535064697266,351.98095703125
334.281066894531,5969.15283203125
335.756011962891,38.6615142822266
337.084014892578,1590.34729003906
340.35107421875,2406.24560546875
342.264068603516,1069.14367675781
343.016021728516,140.241027832031
343.670013427734,618.016174316406
344.3330078125,22.1721248626709
345.498016357422,33.0815048217773
346.950012207031,83.5256423950195
349.338012695313,967.285583496094
350.635070800781,675.288208007813
353.268005371094,137.229583740234
354.457000732422,202.17138671875
357.092010498047,275.253326416016
357.837005615234,622.939636230469
359.490051269531,1426.22521972656
361.704071044922,3260.45385742188
365.192016601563,60.3162803649902
367.960052490234,816.285949707031
369.599060058594,783.482727050781
370.5830078125,167.424041748047
373.443054199219,1782.06359863281
374.752014160156,35.0242042541504
375.499053955078,554.911865234375
380.25,827.414672851563
381.5830078125,407.430450439453
383.277008056641,639.284301757813
384.949005126953,1191.83190917969
385.683013916016,28.2593650817871
387.0830078125,416.243225097656
388.417053222656,2436.01831054688
389.375061035156,9359.9423828125
390.334045410156,1179.12426757813
391.5830078125,279.300537109375
393.5,480.542114257813
398.334014892578,527.373474121094
399.585998535156,617.919128417969
