SPECTRUM - MS
D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_89_116.raw
 + c ESI Full pr 89.000 [100.000-400.000] 
Scan #:1187 
RT: 6.00 
AV: 1 
Data points: 53
Mass,Intensity
117.438056945801,1960.25427246094
131.375061035156,237.663436889648
143.777008056641,98.0306701660156
149.119064331055,3086.38330078125
151.167007446289,437.796081542969
156.669006347656,159.106658935547
158.203002929688,1146.20080566406
162.120056152344,6182.31103515625
162.773010253906,216.738006591797
166.432006835938,60.520336151123
171.250015258789,862.707580566406
172.248062133789,867.369018554688
175.751007080078,1032.10583496094
177.192031860352,185740.0625
178.168060302734,14085.5654296875
179.111053466797,3440.16455078125
186.298065185547,5447.82177734375
187.2080078125,409.477783203125
189.880065917969,2807.14379882813
190.580017089844,157.259414672852
195.250061035156,91088.6796875
196.08805847168,5150.38134765625
199.113067626953,925.111083984375
203.286056518555,363.715484619141
207.398056030273,6925.81396484375
208.368057250977,971.109313964844
209.500015258789,1057.30261230469
213.084014892578,953.369079589844
225.497009277344,103.417892456055
236.120056152344,2655.71020507813
273.342071533203,2105.1904296875
274.75,1516.14526367188
277.011016845703,92.6380996704102
279.917999267578,77.2330932617188
282.5830078125,408.622924804688
291.345001220703,351.459899902344
294.252014160156,589.754699707031
313.369995117188,51.4339904785156
319.359008789063,148.738159179688
320.255004882813,17.7616786956787
333.253021240234,38.4991493225098
339.75,14.794361114502
340.607025146484,827.322631835938
345.335998535156,73.0815048217773
352.85400390625,172.230316162109
357.528045654297,1008.28271484375
366.417053222656,179.1416015625
370.152008056641,46.7377395629883
381.251007080078,285.289642333984
382.539001464844,457.234405517578
386.084014892578,791.432983398438
388.255004882813,838.777465820313
398.537048339844,653.8515625
