precursor.m.z,m.z_Floor,retention.time.range,retention.time.range.left.boundary,RT_Floor,retention.time.range.right.boundary,product ion detection: 89,product ion detection: 103,product ion detection: 116,product ion detection: 130,product ion detection: total detected product ions,product ion intensity: 89,product ion intensity: 103,product ion intensity: 116,product ion intensity: 130,product ion intensity: intensity sum of total intensity product ions
162,162,RT: 6.11,6.1,6.1,6.2,FALSE,FALSE,TRUE,FALSE,1,NA,NA,19907.66016,NA,19907.66016
162,162,RT: 6.81,6.8,6.8,6.9,TRUE,TRUE,TRUE,FALSE,3,7839.278809,681.6307373,11381.38477,NA,19902.29432
209,209,RT: 5.03,5,5,5.1,TRUE,FALSE,FALSE,FALSE,1,19241.70703,NA,NA,NA,19241.70703
208,208,RT: 6.29,6.2,6.2,6.3,TRUE,TRUE,TRUE,FALSE,3,2124.243896,134.6451111,16543.07617,NA,18801.96518
162,162,RT: 5.93,5.9,5.9,6,FALSE,FALSE,TRUE,FALSE,1,NA,NA,18562.63672,NA,18562.63672
279,279,RT: 5.50,5.5,5.5,5.6,FALSE,TRUE,FALSE,FALSE,1,NA,18476.12891,NA,NA,18476.12891
208,208,RT: 6.34,6.3,6.3,6.4,FALSE,FALSE,TRUE,FALSE,1,NA,NA,18231.58789,NA,18231.58789
208,208,RT: 6.56,6.5,6.5,6.6,TRUE,TRUE,TRUE,FALSE,3,1103.991211,573.7099609,16509.26758,NA,18186.96875
162,162,RT: 7.20,7.2,7.2,7.3,TRUE,FALSE,TRUE,FALSE,2,6934.240234,NA,10985.56445,NA,17919.80468
397,397,RT: 7.04,7,7,7.1,TRUE,TRUE,FALSE,FALSE,2,156.6141968,16493.04688,NA,NA,16649.66108
175,175,RT: 5.84,5.8,5.8,5.9,TRUE,FALSE,TRUE,FALSE,2,3874.774414,NA,12545.18945,NA,16419.96386
162,162,RT: 7.31,7.3,7.3,7.4,TRUE,FALSE,TRUE,FALSE,2,4770.415527,NA,11641.99609,NA,16412.41162
185,185,RT: 5.04,5,5,5.1,TRUE,TRUE,FALSE,FALSE,2,14922.4375,1367.061646,NA,NA,16289.49915
162,162,RT: 7.80,7.8,7.8,7.9,FALSE,FALSE,TRUE,FALSE,1,NA,NA,16118.95117,NA,16118.95117
162,162,RT: 6.24,6.2,6.2,6.3,TRUE,TRUE,TRUE,FALSE,3,4515.266113,1327.299194,9898.662109,NA,15741.22742
