SPECTRUM - MS
D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_89_116.raw
 + c ESI Full pr 89.000 [100.000-400.000] 
Scan #:837 
RT: 4.23 
AV: 1 
Data points: 26
Mass,Intensity
148.250015258789,24.4754886627197
162.272064208984,6296.796875
163.169006347656,356.741760253906
172.445007324219,302.734100341797
175.5830078125,1169.59631347656
176.964004516602,1564.24328613281
180.862060546875,92.4887847900391
190.25700378418,706.992370605469
194.501007080078,75.3657531738281
203.586013793945,233.315017700195
221.834014892578,1259.01513671875
227.088012695313,263.856109619141
246.670013427734,1416.80126953125
254.503005981445,58.6940727233887
294.317016601563,35.8076171875
301.5,215.549865722656
324.304046630859,99.7653579711914
325.673004150391,626.333618164063
331.2060546875,563.530395507813
344.920013427734,171.323257446289
348.847015380859,30.1368255615234
355.098999023438,11.7457265853882
358.5830078125,632.34326171875
387.033996582031,131.350250244141
390.334014892578,1471.57495117188
398.416015625,453.234649658203
